                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7053,                  5.416,                 4.2854,                 3.4582,                 13.032,                 4.3514,                  7e-05,                0.01786,                  4e-05,                  2e-05,                  3.241,                 5.3511,                 4.1595,                 2.9993,                 14.189,                 4.1567,              0.0033025,              0.0033025,              0.0033025
                      2,                 2.9506,                 3.9944,                 3.5927,                 2.5653,                 6.2665,                 3.3854,                0.35403,                0.40059,                0.29189,                0.14419,                  2.043,                 7.4545,                 3.5811,                  1.908,                  5.352,                 3.0718,               0.006603,               0.006603,               0.006603
                      3,                 1.7094,                 1.9219,                 2.2486,                 1.6786,                 2.6112,                 2.1673,                0.50759,                 0.5362,                 0.5227,                 0.3302,                 1.4041,                 3.9215,                 2.1409,                 1.3453,                 3.9825,                 2.1034,              0.0098704,              0.0098704,              0.0098704
                      4,                 1.3278,                 1.2937,                 1.7903,                 1.4061,                 1.6542,                  1.817,                0.69531,                0.65541,                0.73299,                0.48182,                 1.2081,                 1.7833,                  1.846,                 1.2706,                 2.2896,                 1.8846,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1415,                 1.0137,                 1.5889,                 1.2421,                 1.2799,                 1.6453,                0.70696,                0.59289,                0.67268,                0.44386,                 1.0968,                 1.0377,                 1.6807,                 1.2254,                 1.2848,                 1.7867,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.0481,                0.84421,                  1.475,                 1.1614,                 1.0342,                 1.5377,                0.79053,                0.74631,                0.84332,                0.63496,                0.92657,                0.81844,                  1.482,                0.96129,                0.97957,                 1.5592,               0.009802,               0.009802,               0.009802
                      7,                0.98251,                0.76904,                 1.3932,                 1.0992,                0.91502,                 1.4627,                0.79497,                0.74433,                0.82877,                0.62425,                 0.9296,                0.97244,                 1.4506,                0.99105,                  1.377,                 1.5256,              0.0097525,              0.0097525,              0.0097525
                      8,                0.94061,                0.71745,                 1.3432,                 1.0637,                0.85825,                 1.4123,                0.83793,                0.74169,                0.87358,                0.67198,                0.83172,                0.92649,                  1.368,                0.87571,                 0.7612,                 1.4124,               0.009703,               0.009703,               0.009703
                      9,                0.89533,                0.66881,                 1.3123,                 1.0128,                0.78136,                 1.3809,                 0.8594,                0.80239,                0.89992,                0.66602,                0.84369,                0.61299,                 1.3631,                0.91478,                0.73198,                 1.4156,              0.0096535,              0.0096535,              0.0096535
                     10,                0.86324,                0.63614,                 1.2777,                0.97276,                 0.7431,                 1.3397,                0.81839,                0.81425,                0.89738,                0.67558,                0.77123,                0.56804,                   1.28,                0.85522,                  0.652,                 1.3612,               0.009604,               0.009604,               0.009604
                     11,                0.84652,                0.60901,                 1.2548,                0.96087,                0.70786,                 1.3217,                0.91523,                  0.778,                0.90923,                0.73434,                0.71927,                0.50262,                 1.2453,                0.79418,                0.59535,                 1.3295,              0.0095545,              0.0095545,              0.0095545
                     12,                0.80952,                0.57861,                 1.2236,                0.92638,                0.65973,                 1.2862,                0.84867,                 0.8739,                0.93007,                 0.7179,                0.74317,                0.50313,                 1.2631,                0.82766,                0.54895,                 1.3319,               0.009505,               0.009505,               0.009505
                     13,                0.78707,                0.56369,                  1.195,                0.88847,                0.63245,                 1.2512,                0.86074,                0.83465,                0.92182,                0.72019,                 0.7646,                0.53005,                 1.2598,                0.82122,                0.59536,                 1.3172,              0.0094555,              0.0094555,              0.0094555
                     14,                 0.7719,                0.55233,                 1.1861,                0.88108,                0.63073,                 1.2477,                0.90905,                0.85399,                0.94577,                0.75877,                0.69152,                0.48255,                 1.2133,                0.76511,                0.54402,                 1.2993,               0.009406,               0.009406,               0.009406
                     15,                0.76213,                0.53579,                 1.1847,                0.87186,                0.60368,                 1.2396,                0.91119,                0.83726,                0.93619,                0.76971,                0.70322,                0.56732,                 1.2232,                0.73653,                0.59921,                 1.2617,              0.0093565,              0.0093565,              0.0093565
                     16,                0.74488,                0.51854,                 1.1707,                0.85639,                0.58321,                 1.2285,                0.89221,                0.88288,                0.95527,                0.78386,                0.65427,                0.44497,                 1.1721,                0.70785,                0.48282,                 1.2158,               0.009307,               0.009307,               0.009307
                     17,                0.72761,                0.50011,                 1.1624,                0.82851,                0.56576,                 1.2173,                0.89378,                 0.9039,                0.95857,                0.78059,                  0.646,                0.45181,                 1.1581,                0.70319,                0.50514,                 1.2281,              0.0092575,              0.0092575,              0.0092575
                     18,                0.72553,                0.49984,                 1.1448,                0.83738,                 0.5383,                 1.1947,                0.90002,                0.86848,                0.95201,                0.77509,                0.63078,                0.43179,                 1.1349,                0.70022,                0.46226,                 1.2025,               0.009208,               0.009208,               0.009208
                     19,                0.71439,                0.48681,                 1.1455,                0.80656,                0.51484,                 1.1938,                0.93366,                0.84416,                0.95228,                0.79721,                0.61295,                0.43269,                 1.1361,                0.66514,                0.44511,                 1.1872,              0.0091585,              0.0091585,              0.0091585
                     20,                0.70639,                0.47575,                 1.1326,                0.80089,                 0.4968,                 1.1804,                0.88563,                0.89532,                0.95757,                 0.8095,                0.59832,                0.40151,                 1.1236,                0.64904,                0.42215,                 1.1681,               0.009109,               0.009109,               0.009109
                     21,                0.68661,                0.46246,                 1.1254,                0.79523,                0.51325,                 1.1807,                0.92209,                0.90026,                0.96556,                0.82091,                 0.5646,                0.36899,                 1.0904,                0.62527,                0.37157,                 1.1487,              0.0090595,              0.0090595,              0.0090595
                     22,                0.68779,                0.45962,                 1.1199,                0.79292,                0.48548,                 1.1688,                0.91701,                0.89076,                0.96247,                0.80621,                0.58699,                0.39157,                 1.1217,                0.63797,                0.40765,                 1.1647,                0.00901,                0.00901,                0.00901
                     23,                0.68526,                0.45519,                  1.119,                0.78154,                0.46449,                 1.1627,                0.91187,                0.91058,                0.96823,                0.82917,                0.55623,                0.37057,                 1.0839,                0.60764,                0.37873,                 1.1244,              0.0089605,              0.0089605,              0.0089605
                     24,                0.67748,                0.45972,                  1.109,                0.78026,                0.48648,                  1.154,                0.92971,                0.89953,                0.96788,                0.81822,                0.57506,                0.37475,                 1.0972,                0.61275,                0.35519,                 1.1383,               0.008911,               0.008911,               0.008911
                     25,                0.66533,                0.44053,                 1.1008,                0.76146,                 0.4537,                 1.1432,                0.92811,                0.92357,                0.97354,                0.82514,                0.57745,                0.37826,                 1.0969,                0.63365,                0.35592,                 1.1509,              0.0088615,              0.0088615,              0.0088615
                     26,                0.66329,                0.43537,                 1.1051,                0.76096,                0.44189,                 1.1457,                0.93968,                0.90052,                0.97038,                0.83137,                 0.5815,                0.37544,                 1.0967,                0.60929,                0.36597,                 1.1232,               0.008812,               0.008812,               0.008812
                     27,                0.65605,                0.43439,                 1.1014,                 0.7566,                 0.4574,                  1.142,                 0.9378,                0.91848,                0.97445,                0.82693,                0.56567,                 0.3954,                 1.0863,                0.60779,                0.35208,                 1.1207,              0.0087625,              0.0087625,              0.0087625
                     28,                0.65026,                0.42568,                 1.0984,                0.74422,                0.43295,                 1.1419,                0.90376,                0.92199,                0.97231,                0.82819,                0.57628,                0.36937,                 1.0923,                 0.6051,                0.34547,                 1.1203,               0.008713,               0.008713,               0.008713
                     29,                0.64493,                0.41871,                 1.0936,                0.74022,                0.43745,                 1.1388,                0.91898,                0.88991,                0.96636,                0.81553,                 0.5629,                0.36695,                 1.0833,                0.61851,                0.39709,                 1.1294,              0.0086635,              0.0086635,              0.0086635
                     30,                0.64316,                0.42776,                 1.0914,                0.74634,                0.45539,                 1.1362,                0.94741,                0.90594,                0.97182,                0.83332,                0.56099,                 0.3579,                 1.0708,                0.59718,                 0.3317,                 1.1051,               0.008614,               0.008614,               0.008614
                     31,                0.65142,                0.42358,                 1.0909,                0.74812,                0.43485,                 1.1305,                0.95703,                0.92005,                  0.981,                0.85062,                 0.5428,                0.35255,                 1.0708,                0.58662,                0.31198,                 1.1083,              0.0085645,              0.0085645,              0.0085645
                     32,                0.63825,                0.41895,                 1.0806,                0.72548,                0.42337,                 1.1225,                0.94362,                0.89687,                0.97446,                0.84043,                0.54303,                0.36242,                 1.0647,                0.58585,                 0.3525,                 1.1036,               0.008515,               0.008515,               0.008515
                     33,                0.64143,                0.41786,                 1.0874,                0.72687,                0.42871,                 1.1293,                0.94574,                0.90214,                0.97524,                0.83962,                0.54895,                0.35728,                 1.0612,                0.59183,                0.34557,                 1.1014,              0.0084655,              0.0084655,              0.0084655
                     34,                0.63057,                0.40908,                 1.0752,                0.71581,                0.41082,                 1.1135,                0.95497,                0.88913,                0.97416,                0.82902,                0.55402,                0.34889,                 1.0688,                0.60745,                0.33295,                 1.1071,               0.008416,               0.008416,               0.008416
                     35,                0.62712,                 0.4049,                 1.0779,                0.71712,                0.40468,                 1.1159,                0.92559,                0.93812,                0.98029,                0.84968,                0.53564,                0.32989,                 1.0546,                0.55515,                0.29997,                 1.0843,              0.0083665,              0.0083665,              0.0083665
                     36,                0.62443,                0.40287,                 1.0785,                 0.7083,                0.39486,                 1.1145,                0.89992,                0.93526,                 0.9742,                0.83796,                0.54358,                0.34577,                 1.0595,                0.57703,                0.34115,                 1.0931,               0.008317,               0.008317,               0.008317
                     37,                0.62363,                0.39991,                 1.0671,                0.70975,                0.38188,                 1.1001,                0.94956,                0.93025,                0.98176,                0.84766,                0.53906,                0.33261,                  1.051,                0.57792,                0.30286,                 1.0749,              0.0082675,              0.0082675,              0.0082675
                     38,                 0.6134,                0.39369,                 1.0626,                0.69974,                 0.3836,                 1.0981,                0.95216,                 0.9427,                0.98564,                0.85251,                0.52167,                0.32537,                  1.048,                 0.5616,                0.27007,                   1.08,               0.008218,               0.008218,               0.008218
                     39,                 0.6207,                0.39611,                 1.0658,                0.70522,                0.37619,                  1.098,                0.89447,                0.96957,                0.98291,                0.85293,                0.52388,                0.32215,                 1.0448,                0.56268,                0.27582,                 1.0734,              0.0081685,              0.0081685,              0.0081685
                     40,                0.61322,                0.39391,                 1.0666,                0.70395,                0.38829,                 1.1046,                0.92878,                 0.9222,                 0.9811,                0.85546,                0.51735,                0.31806,                  1.046,                0.54613,                0.30855,                 1.0701,               0.008119,               0.008119,               0.008119
                     41,                0.61548,                0.39426,                 1.0664,                0.70982,                0.39735,                 1.1038,                 0.8928,                0.91208,                0.96772,                0.83586,                0.51696,                0.32584,                 1.0421,                0.57271,                0.34669,                 1.0814,              0.0080695,              0.0080695,              0.0080695
                     42,                0.60433,                0.39044,                 1.0552,                0.69733,                0.41386,                 1.0962,                0.93477,                0.93806,                0.98151,                0.84078,                0.52734,                0.32002,                 1.0527,                0.57069,                0.29946,                 1.0812,                0.00802,                0.00802,                0.00802
                     43,                0.61207,                0.39306,                 1.0664,                0.70428,                 0.4048,                  1.103,                0.91828,                0.94844,                 0.9761,                 0.8454,                0.52461,                0.32222,                  1.043,                0.56634,                0.31076,                 1.0702,              0.0079705,              0.0079705,              0.0079705
                     44,                0.60296,                0.37884,                 1.0658,                0.68209,                0.37514,                 1.0988,                0.95534,                0.92753,                0.98212,                0.84314,                0.54302,                 0.3276,                 1.0612,                0.56866,                0.29421,                 1.0846,               0.007921,               0.007921,               0.007921
                     45,                0.60575,                0.37659,                 1.0533,                0.68604,                0.36245,                 1.0865,                0.95958,                0.93498,                0.98614,                0.85543,                0.51628,                0.30647,                 1.0357,                0.56844,                 0.2749,                 1.0739,              0.0078715,              0.0078715,              0.0078715
                     46,                0.60503,                0.37891,                 1.0635,                0.68588,                0.37097,                 1.0976,                0.95172,                0.93983,                0.98453,                0.85404,                0.51188,                0.31358,                 1.0293,                0.54889,                 0.2743,                 1.0607,               0.007822,               0.007822,               0.007822
                     47,                0.59486,                0.37617,                 1.0466,                0.67596,                0.35313,                 1.0784,                0.97246,                0.92174,                0.98497,                0.86039,                0.50746,                0.30473,                 1.0271,                0.53894,                0.28268,                 1.0565,              0.0077725,              0.0077725,              0.0077725
                     48,                0.59182,                 0.3693,                 1.0479,                0.66948,                0.35738,                 1.0791,                0.94803,                0.94907,                0.98714,                0.85779,                0.50464,                 0.3031,                 1.0269,                0.54456,                0.26388,                 1.0575,               0.007723,               0.007723,               0.007723
                     49,                0.58971,                0.37884,                 1.0452,                 0.6705,                0.36951,                 1.0753,                0.96121,                0.87375,                0.97128,                0.84453,                0.49695,                0.30334,                 1.0178,                0.53832,                0.33293,                 1.0509,              0.0076735,              0.0076735,              0.0076735
                     50,                0.59633,                 0.3751,                 1.0503,                0.66961,                0.35724,                 1.0772,                0.95173,                0.93566,                0.98349,                0.86212,                0.50599,                0.30871,                 1.0207,                0.53736,                0.27303,                 1.0494,               0.007624,               0.007624,               0.007624
                     51,                0.59724,                0.37223,                 1.0516,                0.68064,                0.35944,                 1.0809,                0.96692,                0.93542,                0.98669,                0.86183,                0.51009,                0.31134,                 1.0304,                 0.5432,                0.26186,                 1.0602,              0.0075745,              0.0075745,              0.0075745
                     52,                0.57837,                0.36143,                 1.0372,                0.65184,                0.34497,                 1.0657,                0.97186,                0.92893,                 0.9855,                0.86145,                0.51016,                 0.3044,                 1.0233,                0.53861,                 0.2622,                 1.0444,               0.007525,               0.007525,               0.007525
                     53,                0.58826,                0.36801,                 1.0397,                0.66175,                0.34822,                 1.0693,                 0.9428,                0.95694,                0.98468,                0.85651,                0.51093,                0.31109,                 1.0281,                0.54673,                0.27634,                 1.0566,              0.0074755,              0.0074755,              0.0074755
                     54,                 0.5815,                0.36519,                 1.0421,                0.65615,                0.34334,                 1.0718,                0.95553,                0.94358,                0.98759,                0.85609,                0.51393,                0.29988,                 1.0302,                0.54371,                0.25252,                 1.0567,               0.007426,               0.007426,               0.007426
                     55,                0.57418,                0.35801,                  1.041,                0.64929,                0.33118,                 1.0712,                0.95112,                0.93741,                0.98767,                0.86699,                0.49297,                0.29568,                 1.0112,                0.52061,                0.25134,                 1.0316,              0.0073765,              0.0073765,              0.0073765
